Algorithm,Function,Mean,Std,Convergence
ILSHADE,F7,2020.43,0.18,1:7527.373;100:2029.674;200:2026.054;300:2024.831;400:2023.965;500:2023.307;600:2023.135;700:2022.959;800:2022.767;900:2022.634;1000:2022.352;1100:2022.279;1200:2022.129;1300:2022.03;1400:2021.842;1500:2021.728;1600:2021.602;1700:2021.408;1800:2021.326;1900:2021.259;2000:2021.225;2100:2021.095;2200:2021.089;2300:2021.073;2400:2021.024;2500:2021.024;2600:2020.992;2700:2020.965;2800:2020.948;2900:2020.926;3000:2020.892;3100:2020.836;3200:2020.825;3300:2020.825;3400:2020.807;3500:2020.788;3600:2020.769;3700:2020.681;3800:2020.642;3900:2020.631;4000:2020.61;4100:2020.61;4200:2020.607;4300:2020.599;4400:2020.599;4500:2020.599;4600:2020.598;4700:2020.576;4800:2020.558;4900:2020.548;5000:2020.539;5100:2020.532;5200:2020.531;5300:2020.531;5400:2020.531;5500:2020.523;5600:2020.503;5700:2020.502;5800:2020.494;5900:2020.479;6000:2020.467;6100:2020.461;6200:2020.438;6300:2020.436;6400:2020.436;6500:2020.436;6600:2020.432;6700:2020.43
ILSHADE,F8,2203.219,6.152,1:1.2877501979497352e+17;100:2221.186;200:2215.455;300:2210.626;400:2209.243;500:2208.8;600:2207.892;700:2207.569;800:2207.06;900:2206.444;1000:2206.082;1100:2206.062;1200:2205.767;1300:2205.416;1400:2205.294;1500:2205.092;1600:2204.974;1700:2204.818;1800:2204.682;1900:2204.467;2000:2204.347;2100:2204.33;2200:2204.27;2300:2204.27;2400:2204.259;2500:2204.016;2600:2203.93;2700:2203.871;2800:2203.828;2900:2203.753;3000:2203.753;3100:2203.736;3200:2203.689;3300:2203.689;3400:2203.689;3500:2203.675;3600:2203.645;3700:2203.613;3800:2203.613;3900:2203.567;4000:2203.566;4100:2203.566;4200:2203.566;4300:2203.566;4400:2203.565;4500:2203.56;4600:2203.519;4700:2203.489;4800:2203.489;4900:2203.465;5000:2203.452;5100:2203.449;5200:2203.434;5300:2203.408;5400:2203.405;5500:2203.405;5600:2203.381;5700:2203.347;5800:2203.347;5900:2203.332;6000:2203.332;6100:2203.306;6200:2203.29;6300:2203.279;6400:2203.274;6500:2203.253;6600:2203.253;6700:2203.219
ILSHADE,F9,2344.561,133.682,1:8450.472;100:2344.59;200:2344.561;300:2344.561;400:2344.561;500:2344.561;600:2344.561;700:2344.561;800:2344.561;900:2344.561;1000:2344.561;1100:2344.561;1200:2344.561;1300:2344.561;1400:2344.561;1500:2344.561;1600:2344.561;1700:2344.561;1800:2344.561;1900:2344.561;2000:2344.561;2100:2344.561;2200:2344.561;2300:2344.561;2400:2344.561;2500:2344.561;2600:2344.561;2700:2344.561;2800:2344.561;2900:2344.561;3000:2344.561;3100:2344.561;3200:2344.561;3300:2344.561;3400:2344.561;3500:2344.561;3600:2344.561;3700:2344.561;3800:2344.561;3900:2344.561;4000:2344.561;4100:2344.561;4200:2344.561;4300:2344.561;4400:2344.561;4500:2344.561;4600:2344.561;4700:2344.561;4800:2344.561;4900:2344.561;5000:2344.561;5100:2344.561;5200:2344.561;5300:2344.561;5400:2344.561;5500:2344.561;5600:2344.561;5700:2344.561;5800:2344.561;5900:2344.561;6000:2344.561;6100:2344.561;6200:2344.561;6300:2344.561;6400:2344.561;6500:2344.561;6600:2344.561;6700:2344.561
ILSHADE,F10,3373.45,626.114,1:5599.817;100:3373.45;200:3373.45;300:3373.45;400:3373.45;500:3373.45;600:3373.45;700:3373.45;800:3373.45;900:3373.45;1000:3373.45;1100:3373.45;1200:3373.45;1300:3373.45;1400:3373.45;1500:3373.45;1600:3373.45;1700:3373.45;1800:3373.45;1900:3373.45;2000:3373.45;2100:3373.45;2200:3373.45;2300:3373.45;2400:3373.45;2500:3373.45;2600:3373.45;2700:3373.45;2800:3373.45;2900:3373.45;3000:3373.45;3100:3373.45;3200:3373.45;3300:3373.45;3400:3373.45;3500:3373.45;3600:3373.45;3700:3373.45;3800:3373.45;3900:3373.45;4000:3373.45;4100:3373.45;4200:3373.45;4300:3373.45;4400:3373.45;4500:3373.45;4600:3373.45;4700:3373.45;4800:3373.45;4900:3373.45;5000:3373.45;5100:3373.45;5200:3373.45;5300:3373.45;5400:3373.45;5500:3373.45;5600:3373.45;5700:3373.45;5800:3373.45;5900:3373.45;6000:3373.45;6100:3373.45;6200:3373.45;6300:3373.45;6400:3373.45;6500:3373.45;6600:3373.45;6700:3373.45
ILSHADE,F11,2600,0,1:6159.648;100:2600.019;200:2600.0;300:2600.0;400:2600.0;500:2600.0;600:2600.0;700:2600.0;800:2600.0;900:2600.0;1000:2600.0;1100:2600.0;1200:2600.0;1300:2600.0;1400:2600.0;1500:2600.0;1600:2600.0;1700:2600.0;1800:2600.0;1900:2600.0;2000:2600.0;2100:2600.0;2200:2600.0;2300:2600.0;2400:2600.0;2500:2600.0;2600:2600.0;2700:2600.0;2800:2600.0;2900:2600.0;3000:2600.0;3100:2600.0;3200:2600.0;3300:2600.0;3400:2600.0;3500:2600.0;3600:2600.0;3700:2600.0;3800:2600.0;3900:2600.0;4000:2600.0;4100:2600.0;4200:2600.0;4300:2600.0;4400:2600.0;4500:2600.0;4600:2600.0;4700:2600.0;4800:2600.0;4900:2600.0;5000:2600.0;5100:2600.0;5200:2600.0;5300:2600.0;5400:2600.0;5500:2600.0;5600:2600.0;5700:2600.0;5800:2600.0;5900:2600.0;6000:2600.0;6100:2600.0;6200:2600.0;6300:2600.0;6400:2600.0;6500:2600.0;6600:2600.0;6700:2600.0
ILSHADE,F12,3057.797,382.493,1:5243.608;100:3098.972;200:3057.807;300:3057.797;400:3057.797;500:3057.797;600:3057.797;700:3057.797;800:3057.797;900:3057.797;1000:3057.797;1100:3057.797;1200:3057.797;1300:3057.797;1400:3057.797;1500:3057.797;1600:3057.797;1700:3057.797;1800:3057.797;1900:3057.797;2000:3057.797;2100:3057.797;2200:3057.797;2300:3057.797;2400:3057.797;2500:3057.797;2600:3057.797;2700:3057.797;2800:3057.797;2900:3057.797;3000:3057.797;3100:3057.797;3200:3057.797;3300:3057.797;3400:3057.797;3500:3057.797;3600:3057.797;3700:3057.797;3800:3057.797;3900:3057.797;4000:3057.797;4100:3057.797;4200:3057.797;4300:3057.797;4400:3057.797;4500:3057.797;4600:3057.797;4700:3057.797;4800:3057.797;4900:3057.797;5000:3057.797;5100:3057.797;5200:3057.797;5300:3057.797;5400:3057.797;5500:3057.797;5600:3057.797;5700:3057.797;5800:3057.797;5900:3057.797;6000:3057.797;6100:3057.797;6200:3057.797;6300:3057.797;6400:3057.797;6500:3057.797;6600:3057.797;6700:3057.797
JSO,F1,300,0,1:20406.725;100:396.186;200:300.0;300:300.0;400:300.0;500:300.0;600:300.0;700:300.0;800:300.0;900:300.0;1000:300.0;1100:300.0;1200:300.0;1300:300.0;1400:300.0;1500:300.0;1600:300.0;1700:300.0;1800:300.0;1900:300.0;2000:300.0;2100:300.0;2200:300.0;2300:300.0;2400:300.0;2500:300.0;2600:300.0;2700:300.0;2800:300.0;2900:300.0;3000:300.0;3100:300.0;3200:300.0;3300:300.0;3400:300.0;3500:300.0;3600:300.0;3700:300.0;3800:300.0;3900:300.0;4000:300.0;4100:300.0;4200:300.0;4300:300.0;4400:300.0;4500:300.0;4600:300.0;4700:300.0;4800:300.0;4900:300.0;5000:300.0;5100:300.0;5200:300.0;5300:300.0;5400:300.0;5500:300.0;5600:300.0;5700:300.0;5800:300.0;5900:300.0;6000:300.0;6100:300.0;6200:300.0;6300:300.0;6400:300.0;6500:300.0;6600:300.0;6700:300.0
JSO,F2,401.29,2.806,1:10423.671;100:414.623;200:401.29;300:401.29;400:401.29;500:401.29;600:401.29;700:401.29;800:401.29;900:401.29;1000:401.29;1100:401.29;1200:401.29;1300:401.29;1400:401.29;1500:401.29;1600:401.29;1700:401.29;1800:401.29;1900:401.29;2000:401.29;2100:401.29;2200:401.29;2300:401.29;2400:401.29;2500:401.29;2600:401.29;2700:401.29;2800:401.29;2900:401.29;3000:401.29;3100:401.29;3200:401.29;3300:401.29;3400:401.29;3500:401.29;3600:401.29;3700:401.29;3800:401.29;3900:401.29;4000:401.29;4100:401.29;4200:401.29;4300:401.29;4400:401.29;4500:401.29;4600:401.29;4700:401.29;4800:401.29;4900:401.29;5000:401.29;5100:401.29;5200:401.29;5300:401.29;5400:401.29;5500:401.29;5600:401.29;5700:401.29;5800:401.29;5900:401.29;6000:401.29;6100:401.29;6200:401.29;6300:401.29;6400:401.29;6500:401.29;6600:401.29;6700:401.29
JSO,F3,600,0,1:601.062;100:600.003;200:600.0;300:600.0;400:600.0;500:600.0;600:600.0;700:600.0;800:600.0;900:600.0;1000:600.0;1100:600.0;1200:600.0;1300:600.0;1400:600.0;1500:600.0;1600:600.0;1700:600.0;1800:600.0;1900:600.0;2000:600.0;2100:600.0;2200:600.0;2300:600.0;2400:600.0;2500:600.0;2600:600.0;2700:600.0;2800:600.0;2900:600.0;3000:600.0;3100:600.0;3200:600.0;3300:600.0;3400:600.0;3500:600.0;3600:600.0;3700:600.0;3800:600.0;3900:600.0;4000:600.0;4100:600.0;4200:600.0;4300:600.0;4400:600.0;4500:600.0;4600:600.0;4700:600.0;4800:600.0;4900:600.0;5000:600.0;5100:600.0;5200:600.0;5300:600.0;5400:600.0;5500:600.0;5600:600.0;5700:600.0;5800:600.0;5900:600.0;6000:600.0;6100:600.0;6200:600.0;6300:600.0;6400:600.0;6500:600.0;6600:600.0;6700:600.0
JSO,F4,856.6,3.105,1:1037.348;100:856.6;200:856.6;300:856.6;400:856.6;500:856.6;600:856.6;700:856.6;800:856.6;900:856.6;1000:856.6;1100:856.6;1200:856.6;1300:856.6;1400:856.6;1500:856.6;1600:856.6;1700:856.6;1800:856.6;1900:856.6;2000:856.6;2100:856.6;2200:856.6;2300:856.6;2400:856.6;2500:856.6;2600:856.6;2700:856.6;2800:856.6;2900:856.6;3000:856.6;3100:856.6;3200:856.6;3300:856.6;3400:856.6;3500:856.6;3600:856.6;3700:856.6;3800:856.6;3900:856.6;4000:856.6;4100:856.6;4200:856.6;4300:856.6;4400:856.6;4500:856.6;4600:856.6;4700:856.6;4800:856.6;4900:856.6;5000:856.6;5100:856.6;5200:856.6;5300:856.6;5400:856.6;5500:856.6;5600:856.6;5700:856.6;5800:856.6;5900:856.6;6000:856.6;6100:856.6;6200:856.6;6300:856.6;6400:856.6;6500:856.6;6600:856.6;6700:856.6
