Algorithm,Function,Mean,Std,Convergence
JSO,F1,100.0,0.0,1:28607898896.476;100:240658333.483;200:167.228;300:100.0;400:100.0;500:100.0;600:100.0;700:100.0;800:100.0;900:100.0;1000:100.0;1100:100.0;1200:100.0;1300:100.0;1400:100.0;1500:100.0;1600:100.0
JSO,F2,200.0,0.0,1:2770206.598;100:526.102;200:200.0;300:200.0;400:200.0;500:200.0;600:200.0;700:200.0;800:200.0;900:200.0;1000:200.0;1100:200.0;1200:200.0;1300:200.0;1400:200.0;1500:200.0;1600:200.0
JSO,F3,304.18,1.841,1:2463.514;100:317.547;200:306.768;300:304.395;400:304.266;500:304.231;600:304.215;700:304.209;800:304.205;900:304.204;1000:304.204;1100:304.204;1200:304.199;1300:304.194;1400:304.184;1500:304.181;1600:304.18
JSO,F4,403.104,1.307,1:21081.133;100:638.111;200:434.579;300:422.26;400:413.974;500:410.445;600:408.224;700:406.757;800:406.203;900:405.53;1000:405.085;1100:404.492;1200:403.69;1300:403.2;1400:403.126;1500:403.105;1600:403.104
JSO,F5,500.0,0.0,1:500.016;100:500.0;200:500.0;300:500.0;400:500.0;500:500.0;600:500.0;700:500.0;800:500.0;900:500.0;1000:500.0;1100:500.0;1200:500.0;1300:500.0;1400:500.0;1500:500.0;1600:500.0
JSO,F6,613.538,1.689,1:610503.278;100:7148.76;200:648.624;300:637.37;400:628.444;500:622.968;600:619.869;700:618.221;800:617.169;900:616.541;1000:616.047;1100:615.348;1200:614.219;1300:613.656;1400:613.567;1500:613.543;1600:613.538
JSO,F7,772.0,6.282,1:912.593;100:772.0;200:772.0;300:772.0;400:772.0;500:772.0;600:772.0;700:772.0;800:772.0;900:772.0;1000:772.0;1100:772.0;1200:772.0;1300:772.0;1400:772.0;1500:772.0;1600:772.0
JSO,F8,802.326,0.038,1:807.512;100:802.326;200:802.326;300:802.326;400:802.326;500:802.326;600:802.326;700:802.326;800:802.326;900:802.326;1000:802.326;1100:802.326;1200:802.326;1300:802.326;1400:802.326;1500:802.326;1600:802.326
JSO,F9,2708.886,180.359,1:4689.158;100:2708.914;200:2708.886;300:2708.886;400:2708.886;500:2708.886;600:2708.886;700:2708.886;800:2708.886;900:2708.886;1000:2708.886;1100:2708.886;1200:2708.886;1300:2708.886;1400:2708.886;1500:2708.886;1600:2708.886
JSO,F10,1001.283,0.638,1:317748298.495;100:5728.932;200:1011.631;300:1005.868;400:1003.655;500:1002.769;600:1002.33;700:1001.99;800:1001.744;900:1001.649;1000:1001.628;1100:1001.6;1200:1001.51;1300:1001.352;1400:1001.297;1500:1001.285;1600:1001.284
JSO,F11,1114.615,54.155,1:10390667009.81;100:1203186.156;200:1141.761;300:1114.615;400:1114.615;500:1114.615;600:1114.615;700:1114.615;800:1114.615;900:1114.615;1000:1114.615;1100:1114.615;1200:1114.615;1300:1114.615;1400:1114.615;1500:1114.615;1600:1114.615
JSO,F12,1204.983,1.159,1:8875822517.111;100:12394.707;200:1254.166;300:1211.058;400:1208.722;500:1207.648;600:1206.986;700:1206.628;800:1206.455;900:1206.315;1000:1206.212;1100:1205.906;1200:1205.428;1300:1205.086;1400:1205.021;1500:1204.994;1600:1204.984
JSO,F13,1319.343,4.989,1:3815471.085;100:3260.076;200:1346.889;300:1332.245;400:1326.545;500:1324.431;600:1323.199;700:1322.469;800:1321.902;900:1321.279;1000:1321.048;1100:1320.386;1200:1319.708;1300:1319.467;1400:1319.374;1500:1319.346;1600:1319.344
JSO,F14,1400.759,0.632,1:2786906253.973;100:8732.484;200:1407.701;300:1403.12;400:1401.458;500:1401.044;600:1400.91;700:1400.823;800:1400.799;900:1400.788;1000:1400.783;1100:1400.78;1200:1400.772;1300:1400.763;1400:1400.76;1500:1400.759;1600:1400.759
JSO,F15,1631.879,177.546,1:7794686532.596;100:2154.419;200:1661.798;300:1633.41;400:1632.597;500:1632.24;600:1632.092;700:1631.999;800:1631.969;900:1631.962;1000:1631.959;1100:1631.955;1200:1631.948;1300:1631.917;1400:1631.887;1500:1631.885;1600:1631.88
JSO,F16,1673.777,92.376,1:78679431894119.14;100:1842.93;200:1687.751;300:1683.692;400:1681.835;500:1680.542;600:1679.602;700:1678.509;800:1677.754;900:1677.12;1000:1676.879;1100:1676.008;1200:1674.674;1300:1674.021;1400:1673.89;1500:1673.794;1600:1673.779
